CustomerID,Recency,FirstPurchaseDaysAgo,Frequency,TotalQuantity,Monetary,AvgOrderValue,TotalReturns,ReturnRate,AvgQuantityPerInvoice,MaxQuantity,MinQuantity,StdQuantity,MeanPrice,MaxPrice,MinPrice,StdPrice,MostCommonHour,MostCommonWeekday,AvgDaysBetweenOrders
12346,326,726,12,74285,77556.46,6463.038333333334,0,0.0,2184.8529411764707,74215,1,12727.403891847041,6.1000000000000005,7.49,1.0,1.8830664868610971,13,0,12.0
12347,2,404,8,2967,4921.53,615.19125,0,0.0,13.364864864864865,240,2,17.33740834906414,2.4980630630630634,12.75,0.25,2.2304954171573206,14,1,1.0
12348,75,438,5,2714,2019.4,403.88,0,0.0,53.21568627450981,144,1,48.700847518494044,3.7862745098039214,40.0,0.29,10.677136125531849,14,0,7.0
12349,19,589,4,1624,4428.69,1107.1725,0,0.0,9.28,48,1,7.770885835390112,8.459657142857143,300.0,0.42,32.8081932382741,9,3,3.0
12350,310,310,1,197,334.4,334.4,0,0.0,11.588235294117647,24,1,4.345382945285314,3.841176470588235,40.0,0.85,9.334750855240422,16,2,0.0
12351,375,375,1,261,300.93,300.93,0,0.0,12.428571428571429,25,1,8.732533587518736,2.355238095238095,12.75,0.42,2.7357533131618776,15,0,0.0
12352,36,393,10,724,2849.84,284.98400000000004,0,0.0,7.029126213592233,24,1,5.072912128581186,13.676796116504855,376.5,0.65,49.00080027785045,14,1,3.0
12353,204,409,2,212,406.76,203.38,0,0.0,8.833333333333334,12,2,3.484957322010111,2.6283333333333334,9.95,0.42,2.536731321425556,12,2,8.0
12354,232,232,1,530,1079.4,1079.4,0,0.0,9.137931034482758,32,1,8.832651299446644,4.5037931034482765,16.95,0.42,4.342805636745455,13,3,0.0
12355,214,568,2,543,947.61,473.805,0,0.0,15.514285714285714,96,2,18.69943602259237,3.069428571428572,12.75,0.42,2.8821161984751074,11,4,10.0
12356,23,425,6,3416,6371.73,1061.955,0,0.0,24.056338028169016,120,1,22.53343446446544,3.157042253521127,28.0,0.36,4.227293248754801,9,0,2.0
12357,33,389,3,6587,18287.66,6095.886666666666,0,0.0,22.25337837837838,96,1,18.948636784885004,6.196993243243243,850.0,0.39,49.31339335463649,10,1,1.0
12358,2,732,5,1079,3887.07,777.414,0,0.0,14.012987012987013,60,1,15.045101936382649,5.3680519480519475,40.0,0.39,7.581694547249461,10,0,9.0
12359,58,734,10,2739,8873.39,887.3389999999999,0,0.0,7.566298342541437,200,1,15.080477449676156,7.393646408839779,145.0,0.29,17.41593475363211,12,3,1.0
12360,52,656,8,2459,4252.89,531.61125,0,0.0,11.331797235023041,120,1,10.274498861140865,3.2079723502304147,40.0,0.12,6.69414915479476,9,1,2.0
12361,287,682,4,235,511.25,127.8125,0,0.0,8.10344827586207,20,1,4.177702953830412,3.8706896551724137,15.0,1.65,4.558499072403486,15,4,14.0
12362,3,739,11,2230,5356.23,486.92999999999995,0,0.0,8.352059925093632,36,1,5.846053346123244,4.413071161048689,130.0,0.12,8.740890571110022,15,3,2.0
12363,110,242,2,408,552.0,276.0,0,0.0,17.73913043478261,36,2,9.250146884850228,2.3117391304347827,7.95,0.55,2.4585576928056323,13,0,6.0
12364,8,112,4,1506,1313.1,328.275,0,0.0,17.71764705882353,180,1,19.43586018329073,1.910235294117647,15.0,0.36,3.29279551823826,15,4,1.0
12365,291,291,2,174,641.38,320.69,0,0.0,7.909090909090909,12,1,3.926819759030636,17.150454545454547,320.69,0.42,67.84281008873329,13,0,0.0
12366,634,634,1,296,500.24,500.24,0,0.0,98.66666666666667,104,96,4.618802153517004,1.6900000000000002,1.69,1.69,0.0,10,1,0.0
12367,4,4,1,173,168.9,168.9,0,0.0,15.727272727272727,60,1,16.67987355522163,3.2,18.0,0.21,5.0844311382887275,16,0,0.0
12368,628,628,1,330,917.6999999999999,917.6999999999999,0,0.0,18.333333333333332,50,6,12.63515171351454,4.391666666666667,14.95,0.85,4.1127581270680995,15,6,0.0
12369,413,642,3,1241,1791.15,597.0500000000001,0,0.0,13.344086021505376,88,1,11.092001253994107,3.148924731182796,40.0,0.42,7.003264217548469,14,3,2.0
12370,51,669,7,2604,4316.56,616.6514285714286,0,0.0,12.955223880597014,288,1,29.85201810723401,3.424179104477612,40.0,0.21,5.56303113848567,12,1,3.0
12371,45,645,5,1436,4067.38,813.476,0,0.0,8.598802395209582,36,1,5.6238089825993685,3.9876047904191623,40.0,0.39,5.952028935184884,13,1,3.0
12372,72,297,3,794,1298.04,432.68,0,0.0,15.26923076923077,36,2,9.838131865977811,3.001346153846154,18.0,0.42,3.880862057481637,12,2,4.0
12373,311,674,3,516,1127.65,375.8833333333334,0,0.0,10.117647058823529,30,1,6.522720471777185,4.627450980392157,40.0,0.85,9.131962076823854,13,3,7.0
12374,25,588,4,1362,2989.2200000000003,747.3050000000001,0,0.0,16.40963855421687,40,2,9.58407742621407,3.47855421686747,40.0,0.42,6.282425765098693,14,4,6.0
